11880 Carmel Mountain Rd,Fast Food Restaurant,San Diego,US,32.981603,-117.077584,POINT(-117.077584 32.981603),In-N-Out Burger,92128
2757 Castro Valley Blvd,Fast food restaurants,Castro Valley,US,37.694563,-122.085455,POINT(-122.085455 37.694563),Burger King,94546
49 W Hamilton Ave,Fast food restaurants,Campbell,US,37.294339,-121.950871,POINT(-121.950871 37.294339),Burger King,95008
23301 Main St,Fast Food,Carson,US,33.813652,-118.276061,POINT(-118.276061 33.813652),Pizza Hut,90745
1199 E Anaheim St,Fast Food Restaurant,Long Beach,US,33.78292,-118.17667,POINT(-118.17667 33.78292),Church's Chicken,90813
7201 Fair Oaks Blvd,Fast Food Restaurant and Burger Joint,Carmichael,US,38.632,-121.3288,POINT(-121.3288 38.632),Burger King,95608
7011 Topanga Canyon Blvd,Fast Food Restaurants,Canoga Park,US,34.19788,-118.606399,POINT(-118.606399 34.19788),Arby's,91303
9175 De Soto Ave,Fast Food Restaurants,Chatsworth,US,34.23765,-118.58919,POINT(-118.58919 34.23765),Chipotle Mexican Grill,91311
815 Chappel Dr,fast food restaurant,Spanish Fork,US,40.123976,-111.642624,POINT(-111.642624 40.123976),Burger King,84660
2525 E Imperial Hwy,Fast Food Restaurant,Brea,US,33.911434,-117.865544,POINT(-117.865544 33.911434),Arby's,92821
1720 Park Ave,Fast Food Restaurant,Park City,US,40.658326,-111.507084,POINT(-111.507084 40.658326),Burger King,84060
7085 El Camino Real,Fast Food Restaurants,Atascadero,US,35.4857,-120.6641,POINT(-120.6641 35.4857),Carl's Jr,93422
8304 El Camino Real,Fast food restaurants,Atascadero,US,35.474274,-120.654576,POINT(-120.654576 35.474274),Burger King,93422
803 N Main St,Fast food restaurants,Layton,US,41.072556,-111.978598,POINT(-111.978598 41.072556),Burger King,84041
687 W State St,Fast Food Restaurant,Hurricane,US,37.176458,-113.300377,POINT(-113.300377 37.176458),Burger King,84737
115 Main St,Fast food restaurants,Brawley,US,32.978699,-115.541252,POINT(-115.541252 32.978699),Carl's Jr,92227
828 Southampton Rd,Fast Food Restaurant,Benicia,US,38.06753,-122.168337,POINT(-122.168337 38.06753),Burger King,94510
515 E Main St,Fast Food Restaurant and Burger Joint,Uvalde,US,29.21207,-99.778349,POINT(-99.778349 29.21207),Burger King,78801
328 N Main St,Fast Food Restaurants,Cedartown,US,34.017911,-85.253614,POINT(-85.253614 34.017911),McDonald's,30125
1540 E Main St,Fast Food Restaurant and Burger Joint,Barstow,US,34.891772,-117.001755,POINT(-117.001755 34.891772),Burger King,92311
10134 Artesia Blvd,Fast Food Restaurant,Bellflower,US,33.872425,-118.118195,POINT(-118.118195 33.872425),Burger King,90706
1213 N Travis St,Fast Food Restaurants,Sherman,US,33.645878,-96.612181,POINT(-96.612181 33.645878),Burger King,75090
14130 Ramona Blvd,Fast food restaurants,Baldwin Park,US,34.084904,-117.965034,POINT(-117.965034 34.084904),Burger King,91706
900 E Alosta Ave,Fast Food,Azusa,US,34.12867,-117.88797,POINT(-117.88797 34.12867),Chick-Fil-A,91702
900 E Alosta Ave,Fast Food Restaurants,Azusa,US,34.12867,-117.88797,POINT(-117.88797 34.12867),Chick-Fil-A,91702
17601 Halsted St,Fast Food,Homewood,US,41.569335,-87.636192,POINT(-87.636192 41.569335),Taco Bell,60430
121 E Foothill Blvd,Fast Food Restaurants,Arcadia,US,34.151796,-118.026629,POINT(-118.026629 34.151796),Pizza Hut,91006
161 E Live Oak Ave,Fast Food,Arcadia,US,34.108449,-118.025358,POINT(-118.025358 34.108449),Pizza Hut,91006
3605 E 18th St,Fast Food Restaurant,Antioch,US,38.00562,-121.755602,POINT(-121.755602 38.00562),Burger King,94509
3025 Main St,Fast food restaurants,Glastonbury,US,41.726353,-72.617608,POINT(-72.617608 41.726353),Burger King,06033
306 W Rollins Rd,Fast Food Restaurants,Round Lake,US,42.379367,-88.090594,POINT(-88.090594 42.379367),Taco Bell,60073
2182 S Perryville Rd,Fast Food Restaurant,Rockford,US,42.242169,-88.979761,POINT(-88.979761 42.242169),Taco Bell,61112
10710 N Main St,Fast Food Restaurant,Richmond,US,42.481616,-88.306089,POINT(-88.306089 42.481616),Taco Bell,60071
10710 N Main St,Fast Food Restaurants,Richmond,US,42.481616,-88.306089,POINT(-88.306089 42.481616),Taco Bell,60071
5257 Trompeter Rd,Fast Food Restaurants,Peru,US,41.369912,-89.127509,POINT(-89.127509 41.369912),Taco Bell,61354
5257 Trompeter Rd,Fast Food Restaurant,Peru,US,41.369912,-89.127509,POINT(-89.127509 41.369912),Taco Bell,61354
3101 N Sterling Ave,Fast Food,Peoria,US,40.725904,-89.632557,POINT(-89.632557 40.725904),Taco Bell,61604
7601 W 111th St,Fast Food Restaurants,Palos Hills,US,41.689687,-87.807139,POINT(-87.807139 41.689687),Taco Bell,60465
1920 Court St,Fast Food Restaurants,Pekin,US,40.560185,-89.620775,POINT(-89.620775 40.560185),Taco Bell,61554
534 Crawford Rd,Fast Food Restaurant,Belton,US,34.582264,-82.47881,POINT(-82.47881 34.582264),McDonald's,29627
2834 Main St,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,US,41.720514,-72.614164,POINT(-72.614164 41.720514),Boston Market,06033
2222 Green Bay Rd,Fast Food,North Chicago,US,42.318766,-87.86647,POINT(-87.86647 42.318766),Taco Bell,60064
1527 E College Ave,Fast Food,Normal,US,40.510327,-88.959485,POINT(-88.959485 40.510327),Taco Bell,61761
7535 N Harlem Ave,Fast Food Restaurant,Niles,US,42.017637,-87.806548,POINT(-87.806548 42.017637),Taco Bell,60714
100 W Ashland St,Fast Food Restaurant,Morton,US,40.625831,-89.464451,POINT(-89.464451 40.625831),Taco Bell,61550
5697 Kanan Rd,Fast Food,Agoura Hills,US,34.153826,-118.757244,POINT(-118.757244 34.153826),Baskin-Robbins,91301
30651 Thousand Oaks Blvd,Fast Food,Agoura Hills,US,34.15483,-118.78855,POINT(-118.78855 34.15483),Ameci Pizza & Pasta,91301
1950 Douglas Rd,Fast Food Restaurants,Montgomery,US,41.71974,-88.319428,POINT(-88.319428 41.71974),Taco Bell,60538
4650 16th St,Fast Food,Moline,US,41.466329,-90.507118,POINT(-90.507118 41.466329),Taco Bell,61265
1801 7th Ave Sw,Fast Food Restaurants,Jamestown,US,46.88957,-98.71822,POINT(-98.71822 46.88957),Arby's,58401
7878 Pocomoke Dr,Fast Food Restaurants,Jessup,US,39.167616,-76.783963,POINT(-76.783963 39.167616),McDonald's,20794
605 E Broadway St,Fast Food Restaurant,Campbellsville,US,37.346447,-85.337368,POINT(-85.337368 37.346447),McDonald's,42718
3340 Mall Loop Dr,Fast Food Restaurant,Joliet,US,41.57939,-88.165058,POINT(-88.165058 41.57939),Taco Bell,60431
414 3rd St,Fast Food Restaurants,Fairbanks,US,64.84024,-147.71043,POINT(-147.71043 64.84024),Ak Buffet,99701
270 E Army Trail Rd,Fast Food,Glendale Heights,US,41.935996,-88.071188,POINT(-88.071188 41.935996),Taco Bell,60139
1882 S West Ave,Fast Food,Freeport,US,42.272672,-89.63141,POINT(-89.63141 42.272672),Taco Bell,61032
1882 S West Ave,Fast Food Restaurants,Freeport,US,42.272672,-89.63141,POINT(-89.63141 42.272672),Taco Bell,61032
1991 Airport Way,Fast Food Restaurants,Fairbanks,US,64.84024,-147.71043,POINT(-147.71043 64.84024),Pizza Hut,99701
7053 Arundel Mills Cir,Fast Food Restaurant,Hanover,US,39.153002,-76.723817,POINT(-76.723817 39.153002),McDonald's,21076
2911 N Stockton Hill Rd,Fast Food Restaurants,Kingman,US,35.212801,-114.035004,POINT(-114.035004 35.212801),Pizza Hut,86401
12319 Old Glenn Hwy,Fast Food Restaurant and Burger Joint,Eagle River,US,61.331815,-149.565417,POINT(-149.565417 61.331815),Carl's Jr,99577
12319 Old Glenn Hwy,Fast Food Restaurant,Eagle River,US,61.331815,-149.565417,POINT(-149.565417 61.331815),Carl's Jr,99577
1602 E Broadway St,Fast Food Restaurant,Campbellsville,US,37.357213,-85.323654,POINT(-85.323654 37.357213),SUBWAY,42718
4844 S Val Vista Dr Ste 104,Fast Food,Gilbert,US,33.2626498,-111.7561972,POINT(-111.7561972 33.2626498),Little Caesars Pizza,85298
5000 N Sunland Gin Rd,Fast Food Restaurant,Eloy,US,32.806598,-111.67189,POINT(-111.67189 32.806598),Arby's,85131
